^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS5810
!dataset_title = Hypoxia effect on von Hippel Lindau-overexpressing renal cell carcinoma cells
!dataset_description = Analysis of renal cell carcinoma (RCC) 786-O cells transfected with von Hippel Lindau (VHL)-overexpression vector and cultured under hypoxia conditions (1% O2) for 24 hours. Results provide insight into overlap and differences of VHL- and hypoxia-dependent molecular alterations in RCC.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 25890500
!dataset_platform = GPL6244
!dataset_platform_organism = Homo sapiens
!dataset_platform_technology_type = in situ oligonucleotide
!dataset_feature_count = 33297
!dataset_sample_organism = Homo sapiens
!dataset_sample_type = RNA
!dataset_channel_count = 1
!dataset_sample_count = 8
!dataset_value_type = transformed count
!dataset_reference_series = GSE65168
!dataset_order = none
!dataset_update_date = Jun 28 2016
^SUBSET = GDS5810_1
!subset_dataset_id = GDS5810
!subset_description = control
!subset_sample_id = GSM1588482,GSM1588486,GSM1588481,GSM1588485
!subset_type = protocol
^SUBSET = GDS5810_2
!subset_dataset_id = GDS5810
!subset_description = VHL transfection
!subset_sample_id = GSM1588484,GSM1588488,GSM1588483,GSM1588487
!subset_type = protocol
^SUBSET = GDS5810_3
!subset_dataset_id = GDS5810
!subset_description = normoxia
!subset_sample_id = GSM1588483,GSM1588487,GSM1588481,GSM1588485
!subset_type = stress
^SUBSET = GDS5810_4
!subset_dataset_id = GDS5810
!subset_description = hypoxia
!subset_sample_id = GSM1588482,GSM1588486,GSM1588484,GSM1588488
!subset_type = stress
^DATASET = GDS5810
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM1588481 = Value for GSM1588481: 786-O biological replicate 1; src: renal cell carcinoma
#GSM1588485 = Value for GSM1588485: 786-O biological replicate 2; src: renal cell carcinoma
#GSM1588482 = Value for GSM1588482: 786-O Hypoxia biological replicate 1; src: renal cell carcinoma
#GSM1588486 = Value for GSM1588486: 786-O Hypoxia biological replicate 2; src: renal cell carcinoma
#GSM1588483 = Value for GSM1588483: 786-O VHL biological replicate 1; src: renal cell carcinoma
#GSM1588487 = Value for GSM1588487: 786-O VHL biological replicate 2; src: renal cell carcinoma
#GSM1588484 = Value for GSM1588484: 786-O VHL Hypoxia biological replicate 1; src: renal cell carcinoma
#GSM1588488 = Value for GSM1588488: 786-O VHL Hypoxia biological replicate 2; src: renal cell carcinoma
!dataset_table_begin
ID_REF	IDENTIFIER	GSM1588481	GSM1588485	GSM1588482	GSM1588486	GSM1588483	GSM1588487	GSM1588484	GSM1588488
7896736	chr1:53049-54936	7.21079	7.03296	7.04973	7.12158	7.3114	7.33092	7.36632	7.09886
7896738	chr1:63015-63887	5.80616	5.66635	5.53607	5.72792	5.64454	5.88989	5.90014	5.63319
7896740	OR4F17	5.75289	5.82374	5.5786	5.68562	5.62295	5.84907	5.94472	5.72482
7896742	LOC100134822	7.05634	7.06058	7.25837	7.21521	7.23255	7.75826	7.47519	7.53926
7896744	OR4F29	6.91229	6.30508	6.44444	6.49492	6.47089	6.62063	6.61958	6.57733
7896746	chr1:564951-565019	9.68223	9.58754	9.11258	9.2221	9.58191	9.61653	9.66574	9.78914
7896748	chr1:566062-566129	9.31062	8.77348	8.43327	9.68309	9.76306	9.68349	9.99387	10.1286
7896750	chr1:568069-568136	6.45881	6.34107	5.81945	6.25773	6.35867	6.33486	6.5897	6.62177
7896752	M37726	9.29845	9.17199	8.05696	8.76607	9.63566	9.4988	9.4386	9.55821
7896754	LOC100287934	7.4458	7.15529	7.10333	7.08006	7.04506	7.55861	7.18642	7.42904
7896756	FAM87B	6.40525	6.40462	6.21691	6.23543	6.26948	6.40954	6.44175	6.36128
7896759	LINC01128	7.09799	7.21705	7.31089	7.29232	7.11365	7.4811	7.59848	7.25829
7896761	SAMD11	7.1613	7.19464	7.00782	7.16629	7.26621	7.19108	7.33808	7.24886
7896779	KLHL17	7.41336	7.37332	7.20938	7.34538	7.48687	7.43309	7.59623	7.54428
7896798	PLEKHN1	7.79375	7.77042	7.76914	7.76265	7.67755	7.77042	7.90635	7.89832
7896817	ISG15	6.95527	7.02248	6.92796	6.99718	7.18002	7.09975	7.39471	7.34769
7896822	AGRN	9.17459	8.93323	8.95996	8.97843	8.98039	9.33698	9.33259	9.53737
7896859	MIR200B	6.3697	6.37789	6.18403	6.26476	6.34921	6.41695	6.51612	6.56373
7896861	MIR200A	5.91801	5.94113	5.85572	5.84726	5.78977	5.90916	6.10011	5.76432
7896863	MIR429	6.58069	6.47879	6.32604	6.50354	6.5721	6.49302	6.72169	6.40067
7896865	TTLL10	7.34509	7.40661	7.124	7.2574	7.26353	7.25989	7.53417	7.3693
7896878	B3GALT6	7.97536	8.17872	7.89204	8.03922	8.16046	8.18344	8.43262	8.21531
7896882	SCNN1D	6.94843	6.85621	6.83415	6.86239	6.91574	6.84353	7.07957	6.81268
7896908	PUSL1	8.45337	8.73581	8.08561	8.37757	8.6706	8.78425	8.87205	8.64154
7896917	cc	7.39498	7.58916	7.28504	7.61045	7.48298	7.66154	7.75382	7.76139
7896921	TAS1R3	6.89546	6.94937	6.76497	6.87491	6.83884	6.83157	7.1382	6.92536
7896929	VWA1	7.23759	7.33517	7.03416	7.27026	7.22193	7.16808	7.3725	7.28531
